GeneSym	EnsembleID	GO_anno
CD19	ENSP00000313419	extracellular region part
FCER2	ENSP00000264072	extracellular region part
GYPA	ENSP00000354003	extracellular region part
CD22	ENSP00000085219	extracellular region part
CD27	ENSP00000266557	extracellular region part
CD33	ENSP00000262262	extracellular region part
MS4A1	ENSP00000314620	extracellular region part
CD274	ENSP00000370989	extracellular region part
CD276	ENSP00000320084	extracellular region part
ROBO4	ENSP00000304945	extracellular region part
FCGR3A	ENSP00000356946	extracellular region part
F3	ENSP00000334145	extracellular region part
CR2	ENSP00000356024	extracellular region part
CD53	ENSP00000271324	extracellular region part
PTPRJ	ENSP00000400010	extracellular region part
CD55	ENSP00000316333	extracellular region part
GPR64	ENSP00000369198	extracellular region part
SLC12A2	ENSP00000262461	extracellular region part
SLC22A13	ENSP00000310241	extracellular region part
SLC22A11	ENSP00000301891	extracellular region part
GP2	ENSP00000370767	extracellular region part
MGAM	ENSP00000373973	extracellular region part
SLC12A1	ENSP00000370381	extracellular region part
SLC2A5	ENSP00000366641	extracellular region part
UPK1B	ENSP00000264234	extracellular region part
SLC26A9	ENSP00000341682	extracellular region part
CDH16	ENSP00000299752	extracellular region part
SLC22A8	ENSP00000337335	extracellular region part
SLC39A5	ENSP00000266980	extracellular region part
SLC22A2	ENSP00000355920	extracellular region part
SLC4A4	ENSP00000393557	extracellular region part
ST14	ENSP00000278742	extracellular region part
GPR56	ENSP00000369018	extracellular region part
C5	ENSP00000223642	extracellular region part
C8B	ENSP00000360281	extracellular region part
C8A	ENSP00000354458	extracellular region part
C8G	ENSP00000224181	extracellular region part
C6	ENSP00000263413	extracellular region part
C7	ENSP00000322061	extracellular region part
C9	ENSP00000263408	extracellular region part
NCKAP1L	ENSP00000293373	extracellular region part
NOX3	ENSP00000159060	extracellular region part
C1QTNF5	ENSP00000402389	extracellular region part
MFRP	ENSP00000391664	extracellular region part
ENTPD1	ENSP00000360248	extracellular region part
FREM2	ENSP00000280481	extracellular region part
CD48	ENSP00000357025	extracellular region part
RTN4RL1	ENSP00000330631	extracellular region part
RTN4RL2	ENSP00000335397	extracellular region part
GGT1	ENSP00000248923	extracellular region part
GGT6	ENSP00000370962	extracellular region part
