MEROPS_code,MEROPS_name,Respiratory system,Lung,Gastrointestinal tract
M16.974,ubiquinol-cytochrome c reductase core protein II,1,1,1
C56.002,DJ-1 putative peptidase,1,1,1
I51.002,phosphatidylethanolamine-binding protein,1,1,1
C12.001,ubiquitinyl hydrolase-L1,1,1,1
S33.997,monoacylglycerol lipase ABHD6,1,1,0
I02.974,LOC222978 protein ({Homo sapiens}) and similar,1,1,1
M38.974,dihydropyrimidinase related protein-1,1,1,1
C26.966,CTP synthase 2,1,1,1
S01.286,Tysnd1 peptidase,1,1,1
S09.988,"neuroligin 4, X-linked",1,1,1
T03.006,gamma-glutamyltransferase 1 (mammalian-type),1,1,1
T03.016,gamma-glutamyltransferase-like protein 4,1,1,0
M87.003,chloride channel accessory protein 2,1,1,0
T01.986,proteasome subunit beta 1,1,1,1
M28.974,glutaminyl cyclase,1,1,1
C01.084,bleomycin hydrolase (animal),1,1,1
C02.031,calpain 15 ({Homo sapiens}),1,1,1
C19.080,ubiquitin-specific peptidase 54,1,1,1
M38.978,dihydropyrimidinase related protein-5,1,1,1
C69.005,secernin 3,1,1,1
I01.980,Spock2 protein,1,1,0
I31.007,testican 3,1,1,0
S08.073,PCSK2 peptidase,1,1,1
S01.131,elastase-2,1,1,0
M10.002,matrix metallopeptidase-8,1,1,0
M12.237,ADAMTS12 peptidase,1,1,1
M12.024,ADAMTS14 peptidase,1,1,1
M12.226,ADAMTS8 peptidase,1,1,1
M01.008,pyroglutamyl-peptidase II,1,1,0
C111.006,protein-glutamine gamma-glutamyltransferase 6,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
S01.029,kallikrein-related peptidase 14,1,1,0
P02.023,GPR97 protein,1,1,0
I01.037,RECK protein inhibitor unit 1,1,1,1
M14.010,carboxypeptidase A3,1,1,1
M67.973,26S proteasome non-ATPase regulatory subunit 7,1,1,1
M01.010,cytosol alanyl aminopeptidase,1,1,1
M10.014,membrane-type matrix metallopeptidase-1,1,1,1
I04.008,squamous cell carcinoma antigen 1,1,1,0
I100.001,stanniocalcin-1,1,1,1
M10.005,matrix metallopeptidase-3,1,1,1
M67.005,histone H2A deubiquitinase MYSM1,1,1,1
C64.003,A20 peptidase,1,1,1
X40.001,LIV-1 breast cancer protein,1,1,1
A28.003,DNA-damage inducible protein 2,1,1,1
T01.975,proteasome subunit alpha 5,1,1,1
S01.033,factor VII-activating peptidase,1,0,1
M13.002,endothelin-converting enzyme 1,1,1,1
I39.006,antigen CD109,1,0,1
M24.017,methionyl aminopeptidase 1 (eukaryote),1,1,1
S01.994,PRSS35 protein,1,1,1
S01.531,protein FAM111B,1,0,1
C115.001,MINDY-1 protein,1,0,1
S01.132,mannan-binding lectin-associated serine peptidase-3,1,0,0
S01.198,mannan-binding lectin-associated serine peptidase 1,1,0,0
S09.019,dipeptidyl-peptidase 9,1,1,1
C01.975,tubulointerstitial nephritis antigen-related protein,1,1,1
C56.974,Mername-AA296 non-peptidase homologue,1,1,1
M01.972,Tata binding protein associated factor,1,0,1
C13.005,glycosylphosphatidylinositol:protein transamidase,1,0,1
A28.A10,nuclear receptor interacting protein 2,1,0,1
S08.072,PCSK1 peptidase,1,1,1
C19.067,ubiquitin-specific peptidase 34,0,0,1
C85.001,OTUD5 peptidase ({Homo sapiens}),1,1,1
S09.052,Mername-AA194 putative peptidase,0,0,1
X36.001,Y33K hypothetical protein,1,1,1
P02.002,CD97 antigen (human type),1,1,1
C19.055,ubiquitin-specific peptidase 47,1,1,1
C85.P01,hin1L g.p. ({Homo sapiens}),1,0,1
I25.020,alpha-2-HS-glycoprotein inhibitor unit 1,0,0,1
I25.021,alpha-2-HS-glycoprotein inhibitor unit 2,0,0,1
I04.001,alpha-1-peptidase inhibitor,1,1,1
S01.196,complement factor Bb,1,1,1
S01.196,complement factor Bb,1,1,1
S01.212,plasma kallikrein,0,0,1
S01.218,protein C (activated),0,0,1
S09.980,cholinesterase,0,0,1
I04.003,kallistatin,0,0,1
S01.194,complement component C2a,1,1,1
M01.001,aminopeptidase N,0,0,1
C01.032,cathepsin L,1,1,1
I29.001,cathepsin L propeptide,1,1,1
S09.003,dipeptidyl-peptidase IV (eukaryote),1,0,1
T01.014,proteasome subunit beta2i,1,1,1
C14.010,caspase-9,1,1,1
C14.971,FLIP protein,1,1,1
C65.001,otubain-1,1,1,1
I17.001,secretory leukocyte peptidase inhibitor domain 2,1,1,1
I17.001,secretory leukocyte peptidase inhibitor domain 2,1,1,1
I17.950,secretory leukocyte peptidase inhibitor domain 1,1,1,1
A01.003,gastricsin,1,1,1
T03.002,gamma-glutamyltransferase 5 (mammalian-type),0,0,1
M12.004,meprin beta subunit,0,0,1
C26.951,carbamoyl-phosphate synthase ({Homo sapiens}-type),0,0,1
C48.002,SENP1 peptidase,0,0,1
S01.236,kallikrein-related peptidase 6,0,0,1
M100.001,spartan peptidase,0,0,1
A22.002,presenilin 2,0,0,1
M20.005,carnosine dipeptidase II,1,1,1
M08.003,leishmanolysin-2,0,0,1
I103.001,shugoshin-2 ({Homo sapiens}),1,0,1
S09.025,lysophospholipase II ({Homo sapiens}),0,0,1
S01.191,complement factor D,1,0,1
S33.972,mesoderm specific transcript protein,1,1,1
C01.013,cathepsin X,1,1,1
S09.984,carboxylesterase 2,1,1,1
S54.002,rhomboid-like protein 2,1,1,1
M14.005,carboxypeptidase E,1,1,1
C19.056,ubiquitin-specific peptidase 38,0,0,1
S01.159,prostasin,1,1,1
I17.UPW,family I17 unassigned peptidase inhibitors,0,0,1
I08.952,mucin 6,0,0,1
I08.955,mucin 6 ({Homo sapiens}),0,0,1
I01.969,tomoregulin,0,1,1
I01.978,Tmeff2 protein,0,1,1
I02.007,hepatocyte growth factor activator inhibitor 1 inhibitor unit 1,1,0,1
I02.008,hepatocyte growth factor activator inhibitor 1 inhibitor unit 2,1,0,1
I04.980,maspin,1,1,1
M16.971,mitochondrial processing peptidase non-peptidase alpha subunit,1,1,1
M16.P01,LOC133083 g.p. ({Homo sapiens}),1,1,1
I63.002,bothrojaracin,0,0,1
I63.002,bothrojaracin,1,1,1
P02.016,Gpr114 protein,1,1,1
I17.004,chelonianin inhibitor unit 2,1,0,1
I17.UNW,family I17 unassigned peptidase inhibitor homologues,0,0,1
I17.UNW,family I17 unassigned peptidase inhibitor homologues,1,0,1
M28.975,glutamate carboxypeptidase II ({Homo sapiens})-type non-peptidase homologue,1,1,1
S09.943,acyl-CoA thioesterase 4 ({Homo sapiens}),1,1,1
A01.001,pepsin A,0,0,1
A01.070,pepsin A4,0,0,1
A01.071,pepsin A5 ({Homo sapiens}),0,0,1
M10.008,matrix metallopeptidase-7,0,1,1
M19.001,membrane dipeptidase,1,1,1
M38.973,dihydropyrimidinase,1,0,1
M02.M01,UNK,0,0,1
M28.016,Mername-AA103 peptidase,1,1,1
C02.006,calpain-9,1,1,1
S01.156,enteropeptidase,1,0,1
M28.011,NAALADASE L peptidase,1,1,1
S09.991,arylacetamide deacetylase,1,1,1
M87.001,chloride channel accessory protein 1,0,0,1
M12.002,meprin alpha subunit,0,0,1
C02.020,calpain-13,1,0,1
S09.958,hypothetical protein flj40219,0,1,1
M38.981,guanine deaminase,0,0,1
M12.225,ADAMTS5 peptidase,1,1,1
M87.002,chloride channel accessory protein 4,0,0,1
S09.994,neuroligin 1,1,0,1
A01.007,renin,1,0,1
C14.008,caspase-5,1,1,1
T01.010,proteasome subunit beta1c,1,1,1
C19.035,ubiquitin-specific peptidase 22,1,1,1
C78.003,ZUP1 g.p. ({Homo sapiens}),1,0,1
A01.041,BACE2 g.p. ({Homo sapiens}),1,0,1
M38.976,dihydropyrimidinase related protein-3,1,1,1
M38.975,dihydropyrimidinase related protein-2,1,1,1
T01.984,proteasome subunit beta 2,1,1,1
S09.990,esterase D,1,1,1
M16.973,ubiquinol-cytochrome c reductase core protein I,1,1,1
M16.981,ubiquinol-cytochrome c reductase core protein domain 2,1,1,1
M38.980,probable imidazolonepropionase,0,0,1
S26.009,signalase (animal) 18 kDa component,1,1,1
C19.068,ubiquitin-specific peptidase 48,1,1,1
C01.060,cathepsin B,1,1,1
T02.004,taspase-1,1,0,1
C111.002,transglutaminase 2,1,1,1
S01.127,cationic trypsin ({Homo sapiens}-type),0,0,1
A01.010,cathepsin E,0,1,1
C15.010,pyroglutamyl-peptidase I (chordate),1,1,1
I31.952,insulin-like growth factor binding protein 3,1,1,1
I31.952,insulin-like growth factor binding protein 3,1,1,1
I31.952,insulin-like growth factor binding protein 3,1,1,1
C01.070,dipeptidyl-peptidase I,1,1,1
M24.002,methionyl aminopeptidase 2,1,1,1
C19.010,ubiquitin-specific peptidase 4,1,1,1
C44.974,asparagine synthetase,1,1,1
C19.972,ubiquitin-specific endopeptidase 39 [misleading],1,1,1
C44.970,glutamine-fructose-6-phosphate transaminase 1,1,1,1
C19.042,ubiquitin-specific peptidase 36,1,1,1
T01.977,proteasome subunit alpha 3,1,1,1
C02.002,calpain-2,1,1,1
M16.005,nardilysin,1,1,1
M16.983,nardilysin unit 2,1,1,1
M16.987,nardilysin unit 3,1,1,1
M67.972,COP9 signalosome subunit 6,1,1,1
T01.015,proteasome subunit beta5i,1,1,1
S10.013,SCPEP1 peptidase,1,1,1
I31.953,insulin-like growth factor binding protein 2,0,0,1
S09.004,acylaminoacyl-peptidase,1,1,1
A22.003,impas 1 peptidase,1,1,1
C02.018,calpain-10,1,1,1
C19.017,ubiquitin-specific peptidase 9X,1,1,1
C54.003,autophagin-1,1,1,1
S08.063,site-1 peptidase,1,1,1
A22.001,presenilin 1,1,1,1
S53.003,tripeptidyl-peptidase I,1,1,1
M41.026,YME1L1 g.p. ({Homo sapiens}) and similar,1,1,1
S33.017,PLN02872 protein ({Homo sapiens}-type),1,1,1
S72.001,dystroglycan,1,1,1
C19.018,ubiquitin-specific peptidase 10,1,1,1
C19.019,ubiquitin-specific peptidase 1,1,1,1
S01.972,haptoglobin-1,1,1,1
S10.002,serine carboxypeptidase A,1,1,1
M12.215,ADAM15 peptidase,1,1,1
T01.012,proteasome subunit beta5c,1,1,1
M24.007,Xaa-Pro dipeptidase (eukaryote-type),1,1,1
C89.001,acid ceramidase precursor,1,1,1
I35.003,timp-3,1,1,1
C13.004,"legumain, animal-type",1,1,1
I04.035,colligin 1,1,1,1
I04.036,colligin 2,1,1,1
I35.002,timp-2,1,1,1
I04.024,C1 inhibitor,1,1,1
I04.UPW,family I4 unassigned peptidase inhibitors,1,1,1
S01.247,epitheliasin,0,1,1
M67.006,STAMBP isopeptidase,1,0,1
C86.004,JosD1 peptidase,1,1,1
S74.003,myelin regulatory factor,1,0,1
S01.302,matriptase,1,1,1
C48.008,SENP5 peptidase,0,0,1
C02.971,calpamodulin,1,0,1
M13.001,neprilysin,0,1,1
C111.001,coagulation factor XIIIa,1,0,1
C12.004,ubiquitinyl hydrolase-BAP1,1,1,1
I39.001,alpha-2-macroglobulin,1,1,1
A28.001,DNA-damage inducible protein 1,1,1,1
C02.001,calpain-1,1,1,1
T01.971,proteasome subunit alpha 6,1,1,1
M28.972,transferrin receptor protein,1,1,1
C19.016,ubiquitin-specific peptidase 7,1,1,1
S54.955,rhomboid domain containing 2,1,1,1
S28.002,dipeptidyl-peptidase II,1,1,1
C19.014,ubiquitin-specific peptidase 11,1,1,1
A01.009,cathepsin D,1,1,1
I02.015,protease nexin-2,1,1,1
I25.004,cystatin C,1,1,1
I31.002,MHC II invariant chain p41 form,1,1,1
M10.003,matrix metallopeptidase-2,1,1,1
T01.987,proteasome subunit beta 4,1,1,1
S01.193,complement component activated C1s,1,1,1
M67.002,Csn5 peptidase,1,1,1
M18.002,aspartyl aminopeptidase,1,1,1
I02.968,collagen alpha 3(VI) chain,1,1,1
I39.952,complement component C5,1,0,1
I31.950,thyroglobulin,0,0,1
S09.978,thyroglobulin precursor,0,0,1
C01.036,cathepsin K,1,1,1
I29.007,cathepsin K propeptide,1,1,1
C01.034,cathepsin S,1,1,1
I29.004,cathepsin S propeptide,1,1,1
S16.002,PIM1 peptidase,1,1,1
I35.001,timp-1,1,1,1
I01.967,follistatin-related protein 1,1,1,1
I04.021,protease nexin-1,1,1,1
I01.011,SPINK1,0,0,1
I39.950,complement component C3,1,1,1
M14.002,carboxypeptidase A2,0,0,1
I01.970,SPINK4 protein,0,0,1
I01.972,organic anion transporter polypeptide-related,0,0,1
I25.003,cystatin B,1,1,1
C97.002,desumoylating isopeptidase 2,1,1,1
C19.015,ubiquitin-specific peptidase 14,1,1,1
S33.971,epoxide hydrolase,1,1,0
M12.222,ADAMTS1 peptidase,1,1,0
C14.007,caspase-4,1,1,1
I02.011,tissue factor pathway inhibitor-1 inhibitor unit 1,1,1,1
I02.012,tissue factor pathway inhibitor-1 inhibitor unit 2,1,1,1
I02.950,tissue factor pathway inhibitor-1 unit 3,1,1,1
I04.007,plasminogen activator inhibitor 2,1,1,0
I02.013,tissue factor pathway inhibitor-2 inhibitor unit 1,1,1,0
I02.014,tissue factor pathway inhibitor-2 inhibitor unit 2,1,1,0
I02.951,tissue factor pathway inhibitor-2 unit 3,1,1,0
S08.A56,SPAP8A3.12c g.p. ({Schizosaccharomyces pombe}),1,1,1
M10.001,matrix metallopeptidase-1,1,1,0
S14.003,peptidase Clp (type 3),1,1,1
M12.224,ADAM28 peptidase ({Homo sapiens}-type),1,1,1
I25.001,cystatin A,1,1,1
C19.037,ubiquitin-specific peptidase 33,1,1,1
C19.048,ubiquitin-specific peptidase 42,1,0,0
C19.026,ubiquitin-specific peptidase 3,1,0,0
C48.004,SENP6 peptidase,1,1,1
S01.199,complement factor I,1,0,1
M14.011,metallocarboxypeptidase D peptidase unit 1,1,1,1
M14.016,metallocarboxypeptidase D peptidase unit 2,1,1,1
M14.950,metallocarboxypeptidase D non-peptidase unit,1,1,1
M01.018,endoplasmic reticulum aminopeptidase 1,1,1,1
S09.015,PREPL A protein,1,1,1
I39.003,pregnancy-zone protein,1,1,0
M03.006,mitochondrial intermediate peptidase,1,1,1
M12.245,ovastacin,1,1,1
I01.057,esophagus cancer-related gene-2,0,1,1
S09.993,hormone-sensitive lipase,1,0,1
S09.939,lysophosphatidylserine lipase ABHD12,0,0,1
P02.041,adhesion G protein-coupled receptor B1,0,0,1
S33.979,monoglyceride lipase,1,1,1
C02.029,calpain ({Plasmodium}-type),0,0,1
I04.972,E130113E03Rik protein ({Mus musculus}) and similar,0,0,1
M12.232,ADAM30 peptidase,0,0,1
S01.237,neurotrypsin,0,0,1
S09.941,highly similar to acyl-protein thioesterase 1 ({Homo sapiens}),1,1,1
S33.012,Loc328574-like protein,0,0,1
M12.230,ADAMTS6 peptidase,0,0,1
S09.989,"neuroligin 4, Y-linked",0,1,1
I49.001,proSAAS,0,0,1
M24.009,aminopeptidase P1,1,1,1
S01.252,prosemin,0,0,1
M10.022,matrix metallopeptidase-23B,0,0,1
S01.174,mesotrypsin,0,0,1
I21.001,secretogranin V,1,0,1
I01.054,SPINK9,0,0,1
S08.076,PCSK5 peptidase,0,1,1
S09.B13,hCG1647005,1,0,1
M12.960,ADAM32 protein,1,0,1
S09.055,Mername-AA197 putative peptidase,0,0,1
I02.971,WFDC8 protein ({Homo sapiens}),0,0,1
T02.001,glycosylasparaginase precursor,1,1,1
S09.992,KIAA1363-like protein,1,1,1
S33.982,valacyclovir hydrolase,1,1,1
S33.975,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,1,1,1
I04.023,plasmin inhibitor,1,0,1
S01.075,tryptase-6,1,0,1
C14.003,caspase-3,1,1,1
S01.047,human airway trypsin-like peptidase,0,0,1
S01.313,spinesin,1,0,1
G04.002,Tiki2 peptidase,1,1,1
M10.029,matrix metallopeptidase-26,1,0,1
S01.078,ovochymase-1 domain 1,1,0,1
S01.322,ovochymase 1 domain 1,1,0,1
C85.007,YOD1 peptidase,0,1,1
C48.011,SENP8 peptidase,1,1,1
M12.021,ADAMTS9 peptidase,1,1,1
M38.977,dihydropyrimidinase related protein-4,1,1,1
M03.002,neurolysin,1,1,1
C19.047,ubiquitin-specific peptidase 24,1,1,1
I25.065,cystatin 9 ({Homo sapiens}),0,0,1
I25.UPB,subfamily I25B unassigned peptidase inhibitors,0,0,1
C02.011,calpain-5,0,0,1
P02.042,adhesion G protein-coupled receptor F4,1,0,1
S01.079,"transmembrane peptidase, serine 3",1,0,1
C46.004,Desert hedgehog protein,1,0,1
C54.002,autophagin-2,1,0,1
S09.960,hypothetical protein flj33678,1,1,1
I04.011,serpin B6,1,1,1
C121.001,MINDY-4 peptidase,0,0,1
M12.025,ADAMTS15 peptidase,1,0,1
P02.027,brain angiogenesis inhibitor 3,1,1,1
C67.001,CylD peptidase,1,1,1
S54.008,rhomboid-like protein 5,1,1,1
I32.001,BIRC-1 protein,1,1,1
P02.008,GPR56 ({Homo sapiens})-type protein,1,0,1
M13.090,Kell blood-group peptidase,1,0,1
S01.299,PRSS55 g.p. ({Homo sapiens}),1,0,1
C98.001,USPL1 peptidase,0,1,1
M13.091,PHEX peptidase,0,0,1
I35.004,timp-4,0,1,1
S01.414,polyserase-2 unit 1,0,0,1
S01.940,polyserase-2 unit 2,0,0,1
S01.941,polyserase-2 unit 3,0,0,1
I31.006,testican-1,0,0,1
S09.959,hypothetical protein flj37464,1,1,1
P02.011,latrophilin 3,1,0,1
C48.007,SENP2 peptidase,1,1,1
M28.012,glutamate carboxypeptidase III,1,0,1
M12.978,ADAM22 protein,0,0,1
P02.020,GPR128 ({Homo sapiens})-type G-protein coupled receptor,0,0,1
M12.208,ADAM8 peptidase,1,1,1
S33.011,epoxide hydrolase-like putative peptidase,1,1,1
M13.008,neprilysin-2,0,0,1
T01.016,proteasome subunit beta5t,0,0,1
S01.321,"transmembrane peptidase, serine 11F",0,1,1
S09.944,acyl-coenzyme A thioesterase 6 ({Homo sapiens}),0,0,1
I02.954,WFIKKNRP putative peptidase inhibitor unit 2,1,1,1
I02.955,WFIKKNRP putative peptidase inhibitor unit 3,1,1,1
I17.952,WFIKKNRP putative peptidase inhibitor unit 1,1,1,1
C01.009,cathepsin V,1,0,1
I29.010,cathepsin V propeptide,1,0,1
